supplier_material_id,supplier_id,material_id,supplier_material_code,quoted_price,lead_time_days,minimum_order_qty,priority_rank,is_approved
528,28,117,供料-028-117,305.92,12,75,2,1
529,4,117,供料-004-117,283.31,14,58,3,1
530,8,117,供料-008-117,334.21,19,18,4,1
531,37,117,供料-037-117,310.29,11,23,5,1
532,19,118,供料-019-118,194.69,23,73,1,1
533,1,118,供料-001-118,206.08,30,72,2,1
534,15,118,供料-015-118,195.29,33,38,3,1
535,26,118,供料-026-118,202.37,28,36,4,1
536,33,119,供料-033-119,2839.65,22,49,1,1
537,50,119,供料-050-119,2782.61,26,11,2,1
538,15,119,供料-015-119,2720.72,16,37,3,1
539,22,120,供料-022-120,1168.39,23,77,1,1
540,34,120,供料-034-120,1321.5,30,24,2,1
541,21,120,供料-021-120,1244.7,25,37,3,1
542,1,120,供料-001-120,1330.29,32,22,4,1
